 ,Area,IntDen,Median,RawIntDen
1388,4,4522.000,1187,4522.000
1389,3,3663.000,1155,3663.000
1390,2,1749.000,903,1749.000
1391,10,11576.000,1205,11576.000
1392,2,1849.000,1025,1849.000
1393,5,5720.000,1118,5720.000
1394,5,5727.000,1323,5727.000
1395,9,10351.000,1116,10351.000
1396,8,7802.000,942,7802.000
1397,4,5153.000,1310,5153.000
1398,2,2263.000,1355,2263.000
1399,6,8168.000,1541,8168.000
1400,7,7655.000,1013,7655.000
1401,6,6742.000,1122,6742.000
1402,4,5169.000,1278,5169.000
1403,11,12829.000,1244,12829.000
1404,8,8856.000,1147,8856.000
1405,5,6279.000,1195,6279.000
1406,4,6077.000,1618,6077.000
1407,7,8206.000,984,8206.000
1408,2,2040.000,1144,2040.000
1409,8,10462.000,1301,10462.000
1410,12,13483.000,1098,13483.000
1411,6,6689.000,1153,6689.000
1412,5,5184.000,1032,5184.000
1413,4,4899.000,1489,4899.000
1414,6,7253.000,1192,7253.000
1415,9,10840.000,1230,10840.000
1416,8,9388.000,1236,9388.000
1417,4,4642.000,1150,4642.000
1418,4,3820.000,1015,3820.000
1419,13,17175.000,1385,17175.000
1420,3,2953.000,980,2953.000
1421,4,3702.000,902,3702.000
1422,7,6999.000,952,6999.000
1423,11,15211.000,1500,15211.000
1424,8,10117.000,1330,10117.000
1425,8,9234.000,1285,9234.000
1426,10,11524.000,1116,11524.000
1427,4,4803.000,1337,4803.000
1428,8,8966.000,1163,8966.000
1429,7,8153.000,1116,8153.000
1430,5,5743.000,1260,5743.000
1431,10,11329.000,1310,11329.000
1432,5,4899.000,924,4899.000
1433,4,4679.000,1260,4679.000
1434,5,5007.000,986,5007.000
1435,5,4955.000,1044,4955.000
1436,7,7762.000,1061,7762.000
1437,21,24099.000,1098,24099.000
1438,8,9330.000,1219,9330.000
1439,4,4021.000,1043,4021.000
1440,7,8499.000,1346,8499.000
1441,6,7029.000,1337,7029.000
1442,10,11728.000,1310,11728.000
1443,4,4616.000,1260,4616.000
1444,3,2812.000,959,2812.000
1445,9,10456.000,1157,10456.000
1446,9,9906.000,1112,9906.000
1447,4,4457.000,1317,4457.000
1448,4,4939.000,1282,4939.000
1449,6,7205.000,1225,7205.000
1450,7,9920.000,1475,9920.000
1451,2,2124.000,1260,2124.000
1452,6,6972.000,1259,6972.000
1453,3,2766.000,920,2766.000
1454,3,3276.000,1042,3276.000
1455,6,6997.000,1285,6997.000
1456,7,7884.000,1190,7884.000
1457,4,4343.000,1218,4343.000
1458,7,8701.000,1224,8701.000
1459,6,8037.000,1456,8037.000
1460,5,6055.000,1337,6055.000
1461,2,1707.000,882,1707.000
1462,8,9607.000,1463,9607.000
1463,5,6132.000,1310,6132.000
1464,6,7016.000,1365,7016.000
1465,5,4838.000,973,4838.000
1466,9,11001.000,1337,11001.000
1467,9,11443.000,1365,11443.000
1468,6,6913.000,1260,6913.000
1469,4,4721.000,1184,4721.000
1470,14,17215.000,1285,17215.000
1471,4,4007.000,1065,4007.000
1472,10,12907.000,1216,12907.000
1473,4,3951.000,1023,3951.000
1474,11,13337.000,1086,13337.000
1475,2,2520.000,1260,2520.000
1476,2,2185.000,1119,2185.000
1477,3,3580.000,1337,3580.000
1478,5,4820.000,933,4820.000
1479,8,10668.000,1338,10668.000
1480,5,5950.000,1260,5950.000
1481,11,11787.000,1039,11787.000
1482,4,5132.000,1337,5132.000
1483,10,11392.000,1171,11392.000
1484,6,6291.000,1142,6291.000
1485,13,17049.000,1560,17049.000
1486,4,4568.000,1184,4568.000
1487,8,9947.000,1175,9947.000
1488,10,11869.000,1036,11869.000
1489,9,10672.000,1104,10672.000
1490,4,5235.000,1310,5235.000
1491,2,1963.000,1131,1963.000
1492,5,6131.000,1326,6131.000
1493,5,5454.000,960,5454.000
1494,7,8910.000,1275,8910.000
1495,11,12958.000,1050,12958.000
1496,7,9197.000,1308,9197.000
1497,8,9839.000,1255,9839.000
1498,2,2163.000,1173,2163.000
1499,7,8590.000,1131,8590.000
1500,14,16597.000,1181,16597.000
1501,5,5893.000,1292,5893.000
1502,12,16470.000,1524,16470.000
1503,7,7627.000,1082,7627.000
1504,6,6943.000,1211,6943.000
1505,8,9492.000,1365,9492.000
1506,7,7820.000,1038,7820.000
1507,4,5140.000,1285,5140.000
1508,6,7353.000,1260,7353.000
1509,6,7259.000,1388,7259.000
1510,6,6663.000,1236,6663.000
1511,4,3819.000,992,3819.000
1512,7,8483.000,1342,8483.000
1513,4,4853.000,1285,4853.000
1514,6,7233.000,1285,7233.000
1515,9,9861.000,1078,9861.000
1516,7,7879.000,1020,7879.000
1517,8,9855.000,1281,9855.000
1518,4,4390.000,1285,4390.000
1519,9,10200.000,1165,10200.000
1520,8,8457.000,1068,8457.000
1521,3,2908.000,1006,2908.000
1522,7,8999.000,1300,8999.000
1523,4,4177.000,1110,4177.000
1524,4,4277.000,1097,4277.000
1525,8,9071.000,1228,9071.000
1526,6,5704.000,935,5704.000
1527,3,2661.000,855,2661.000
1528,8,9624.000,1256,9624.000
1529,7,8328.000,1260,8328.000
1530,6,6709.000,1319,6709.000
1531,5,6090.000,1264,6090.000
1532,3,2896.000,959,2896.000
1533,9,10752.000,1260,10752.000
1534,8,9359.000,1260,9359.000
1535,8,10201.000,1365,10201.000
1536,4,4550.000,1260,4550.000
1537,8,9959.000,1365,9959.000
1538,6,7392.000,1265,7392.000
1539,9,10694.000,1169,10694.000
1540,7,7589.000,1090,7589.000
1541,4,5244.000,1331,5244.000
1542,9,10123.000,1141,10123.000
1543,11,14117.000,1359,14117.000
1544,8,10371.000,1544,10371.000
1545,4,5535.000,1394,5535.000
1546,10,11027.000,1161,11027.000
1547,3,2455.000,821,2455.000
1548,4,4527.000,1155,4527.000
1549,6,6778.000,1231,6778.000
1550,6,7787.000,1489,7787.000
1551,8,10354.000,1456,10354.000
1552,5,6177.000,1310,6177.000
1553,6,6439.000,1073,6439.000
1554,8,10856.000,1598,10856.000
1555,11,13390.000,1234,13390.000
1556,5,6222.000,1191,6222.000
1557,7,8108.000,1098,8108.000
1558,4,3894.000,894,3894.000
1559,7,7275.000,926,7275.000
1560,4,3860.000,1006,3860.000
1561,3,2717.000,868,2717.000
1562,12,15913.000,1598,15913.000
1563,3,3517.000,1162,3517.000
1564,6,7204.000,1250,7204.000
1565,6,7141.000,1236,7141.000
1566,7,8366.000,1200,8366.000
1567,5,5105.000,998,5105.000
1568,12,14697.000,1262,14697.000
1569,9,10534.000,1305,10534.000
1570,5,4727.000,911,4727.000
1571,2,1770.000,913,1770.000
1572,5,6079.000,1236,6079.000
1573,6,7116.000,1228,7116.000
